Table;Field;English;Portuguese(Brazil);Spanish;"English Tooltips";"Portuguese(Brazil) Tooltips";"Spanish Tooltips";"English Placeholders";"Portuguese(Brazil) Placeholders";"Spanish Placeholders"
tb_dominios;domi_id;ID;ID;ID;;;;;;
tb_dominios;domi_grupo;Group;Grupo;Grupo;;"Nome sem espaços";;;;
tb_dominios;domi_ordem;Order;Ordem;Orden;;"Número de ordem";;;;
tb_dominios;domi_valor;Value;Valor;Valor;"String without spaces(en)";"String sem espaços(br)";;;;
tb_dominios;domi_exibe;Exhibition;Exibição;Exposición;;"Nome de exibição";;;;
tb_dominios;inclu_login;"Inclu Login";"Incluído por";"Inclu Login";;;;;;
tb_dominios;inclu_dt;"Included in";"Incluído em";"Incluido en";;;;;;
tb_dominios;alter_login;"Alter Login";"Alterado por";"Alter Login";;;;;;
tb_dominios;alter_dt;"Changed on";"Alterado em";"Cambiado en";;;;;;
tb_lista_atividades;;"Task's List";"Lista de Tarefas";"Lista de Tareas";;;;;;
tb_lista_atividades;lista_id;ID;ID;ID;;;;;;
tb_lista_atividades;clie_id;Client;Cliente;Cliente;;;;;;
tb_lista_atividades;lista_nm;Name;Nome;Nombre;;;;;;
tb_lista_atividades;inclu_login;"Inclu Login";"Incluído por";"Inclu Login";;;;;;
tb_lista_atividades;inclu_dt;"Included in";"Incluído em";"Incluido en";;;;;;
tb_lista_atividades;alter_login;"Alter Login";"Alterado por";"Alter Login";;;;;;
tb_lista_atividades;alter_dt;"Changed on";"Alterado em";"Cambiado en";;;;;;
tb_planos;;"Access Plans";"Planos de Acesso";"Planes de acceso";;;;;;
tb_planos;plan_id;ID;ID;ID;;;;;;
tb_planos;plan_domi_tipo;"Plan Domi Tipo";"Tipo Plano";"Plan Domi Tipo";;;;;;
tb_planos;plan_nm;"Plan Name";"Nome do Plano";"Nombre del plan";;;;;;
tb_planos;plan_ds;Description;Descrição;Descripción;;;;;;
tb_planos;inclu_login;"Inclu Login";"Incluído por";"Inclu Login";;;;;;
tb_planos;inclu_dt;"Included in";"Incluído em";"Incluido en";;;;;;
tb_planos;alter_login;"Alter Login";"Alterado por";"Alter Login";;;;;;
tb_planos;alter_dt;"Changed on";"Alterado em";"Cambiado en";;;;;;
tb_planos_valores;;"Plan Values";"Valores de Planos";"Plan de valores";;;;;;
tb_planos_valores;plva_id;ID;ID;ID;;;;;;
tb_planos_valores;plan_id;"Plan ID";Plano;"ID del plan";;;;;;
tb_planos_valores;plva_dt_vigenc_ini;"Effective Date Start";"Dt Vigência Iní";"Fecha de inicio efectiva";;;;;;
tb_planos_valores;plva_dt_vigenc_fim;"Final Effective Date";"Dt Vigência Fim";"Fecha de vigencia final";;;;;;
tb_planos_valores;plva_vl;"Plan Amount";"Valor do Plano";"Cantidad del plan";;;;;;
tb_planos_valores;inclu_login;"Inclu Login";"Incluído por";"Inclu Login";;;;;;
tb_planos_valores;inclu_dt;"Included in";"Incluído em";"Incluido en";;;;;;
tb_planos_valores;alter_login;"Alter Login";"Alterado por";"Alter Login";;;;;;
tb_planos_valores;alter_dt;"Changed on";"Alterado em";"Cambiado en";;;;;;
tb_status_atividades;;"Activity Status";"Status de Atividades";"Estado de actividad";;;;;;
tb_status_atividades;stat_id;ID;ID;ID;;;;;;
tb_status_atividades;clie_id;"Customer ID";Cliente;"Identificación del cliente";;;;;;
tb_status_atividades;stat_nm;Name;Nome;Nombre;;;;;;
tb_status_atividades;stat_ds;Description;Descrição;Descripción;;;;;;
tb_status_atividades;stat_fl_ativo;Active?;Ativo?;¿Activo?;;;;;;
tb_status_atividades;inclu_login;"Inclu Login";"Incluído por";"Inclu Login";;;;;;
tb_status_atividades;inclu_dt;"Included in";"Incluído em";"Incluido en";;;;;;
tb_status_atividades;alter_login;"Alter Login";"Alterado por";"Alter Login";;;;;;
tb_status_atividades;alter_dt;"Changed on";"Alterado em";"Cambiado en";;;;;;
tb_usuarios;;Users;Usuários;"Los usuarios";;;;;;
tb_usuarios;usua_id;ID;ID;ID;;;;;;
tb_usuarios;clie_id;"Customer ID";Cliente;"Identificación del cliente";;;;;;
tb_usuarios;usua_domi_status;"Domi Status";"Domi Status";"Domi Status";;;;;;
tb_usuarios;wlSituacao;"Wl Situacao";Situação;"Wl Situacao";;;;;;
tb_usuarios;usua_email;Email;Email;"Correo electrónico";;;;;;
tb_usuarios;usua_username;Username;Username;"Nombre de usuario";;;;;;
tb_usuarios;usua_senha;Password;Senha;Contraseña;;;;;;
tb_usuarios;usua_login_ulti;"Last Login";"Último Login";"Último acceso";;;;;;
tb_usuarios;inclu_login;"Inclu Login";"Incluído por";"Inclu Login";;;;;;
tb_usuarios;inclu_dt;"Included in";"Incluído em";"Incluido en";;;;;;
tb_usuarios;alter_login;"Alter Login";"Alterado por";"Alter Login";;;;;;
tb_usuarios;alter_dt;"Changed on";"Alterado em";"Cambiado en";;;;;;
admin_rights;;"Admin Rights";"Admin Rights";"Admin Rights";;;;;;
admin_rights;TableName;"Table Name";"Table Name";"Table Name";;;;;;
admin_rights;GroupID;"Group ID";"Group ID";"Group ID";;;;;;
admin_rights;AccessMask;"Access Mask";"Access Mask";"Access Mask";;;;;;
admin_rights;Page;Page;Page;Page;;;;;;
admin_members;;"Admin Members";"Admin Members";"Admin Members";;;;;;
admin_members;usua_id;ID;ID;ID;;;;;;
admin_members;clie_id;"Customer ID";"ID do Cliente";"Identificación del cliente";;;;;;
admin_members;usua_domi_status;"Domi Status";"Domi Status";"Domi Status";;;;;;
admin_members;usua_email;Email;Email;"Correo electrónico";;;;;;
admin_members;usua_username;Username;Username;"Nombre de usuario";;;;;;
admin_members;usua_senha;Password;Senha;Contraseña;;;;;;
admin_members;usua_login_ulti;"Last Login";"Último Login";"Último acceso";;;;;;
admin_members;inclu_login;"Inclu Login";"Inclu Login";"Inclu Login";;;;;;
admin_members;inclu_dt;"Included in";"Incluído em";"Incluido en";;;;;;
admin_members;alter_login;"Alter Login";"Alter Login";"Alter Login";;;;;;
admin_members;alter_dt;"Changed on";"Alterado em";"Cambiado en";;;;;;
admin_users;;"Admin Users";"Add/Edit users";"Admin Users";;;;;;
admin_users;usua_id;ID;ID;ID;;;;;;
admin_users;clie_id;"Customer ID";"ID do Cliente";"Identificación del cliente";;;;;;
admin_users;usua_domi_status;"Domi Status";"Domi Status";"Domi Status";;;;;;
admin_users;usua_email;Email;Email;"Correo electrónico";;;;;;
admin_users;usua_username;Username;Username;"Nombre de usuario";;;;;;
admin_users;usua_senha;Password;Senha;Contraseña;;;;;;
admin_users;usua_login_ulti;"Last Login";"Último Login";"Último acceso";;;;;;
admin_users;inclu_login;"Inclu Login";"Inclu Login";"Inclu Login";;;;;;
admin_users;inclu_dt;"Included in";"Incluído em";"Incluido en";;;;;;
admin_users;alter_login;"Alter Login";"Alter Login";"Alter Login";;;;;;
admin_users;alter_dt;"Changed on";"Alterado em";"Cambiado en";;;;;;
log_audit;;"Log Audit";"Log Audit";"Log Audit";;;;;;
log_audit;id;Id;Id;Id;;;;;;
log_audit;datetime;Datetime;Data/Hora;Datetime;;;;;;
log_audit;ip;Ip;IP;Ip;;;;;;
log_audit;user;User;Usuário;User;;;;;;
log_audit;table;Table;Tabela;Table;;;;;;
log_audit;action;Action;Ação;Action;;;;;;
log_audit;description;Description;Descrição;Description;;;;;;
"Gráfico Tarefas por Lista";;"Gráfico Tarefas por Lista";"Gráfico Tarefas por Lista";"Gráfico Tarefas por Lista";;;;;;
"Gráfico Tarefas por Lista";clie_id;"Clie Id";Cliente;"Clie Id";;;;;;
"Gráfico Tarefas por Lista";lista_id;"Lista Id";Lista;"Lista Id";;;;;;
"Gráfico Tarefas por Lista";lista_nm;"Lista Nm";Lista;"Lista Nm";;;;;;
"Gráfico Tarefas por Lista";Qtde;Qtde;Qtde;Qtde;;;;;;
proc_limpar_tarefas_de_lista;;"Proc Limpar Tarefas De Lista";"Proc Limpar Tarefas De Lista";"Proc Limpar Tarefas De Lista";;;;;;
proc_limpar_tarefas_de_lista;ID;ID;ID;ID;;;;;;
proc_limpar_tarefas_de_lista;DataHora;"Data Hora";"Data Hora";"Data Hora";;;;;;
proc_limpar_tarefas_de_lista;AnterioresAData;"Anteriores AData";"Anteriores à Data";"Anteriores AData";;;;;;
proc_limpar_tarefas_de_lista;SomenteComDataConclusao;"Somente Com Data Conclusao";"Somente Com Data Conclusão";"Somente Com Data Conclusao";;;;;;
proc_limpar_tarefas_de_lista;SomenteSemComentarios;"Somente Sem Comentarios";"Somente Sem Comentários";"Somente Sem Comentarios";;;;;;
proc_limpar_tarefas_de_lista;SomenteDoStatus;"Somente Do Status";"Somente do Status";"Somente Do Status";;;;;;
proc_limpar_tarefas_de_lista;lista_id;"Lista Id";"Lista Id";"Lista Id";;;;;;
tb_parametros;;"Tb Parametros";"Tb Parametros";"Tb Parametros";;;;;;
tb_parametros;para_id;"Para Id";ID;"Para Id";;;;;;
tb_parametros;para_nome;"Para Nome";Nome;"Para Nome";;;;;;
tb_parametros;para_valor;"Para Valor";Valor;"Para Valor";;;;;;
tb_parametros;para_ativo;"Para Ativo";Ativo;"Para Ativo";;;;;;
tb_parametros;inclu_login;"Inclu Login";"Incluído por";"Inclu Login";;;;;;
tb_parametros;inclu_dt;"Inclu Dt";"Incluído em";"Inclu Dt";;;;;;
tb_parametros;alter_login;"Alter Login";"Alterado por";"Alter Login";;;;;;
tb_parametros;alter_dt;"Alter Dt";"Alterado em";"Alter Dt";;;;;;
Dashboard_Lista_e_Tarefas;;"Dashboard Lista E Tarefas";"Dashboard Lista E Tarefas";"Dashboard Lista E Tarefas";;;;;;
Dashboard_Lista_e_Tarefas;tb_lista_atividades_lista_id;"Tb Lista Atividades Lista Id";"Tb Lista Atividades Lista Id";"Tb Lista Atividades Lista Id";;;;;;
Dashboard_Lista_e_Tarefas;tb_lista_atividades_clie_id;"Tb Lista Atividades Clie Id";"Tb Lista Atividades Clie Id";"Tb Lista Atividades Clie Id";;;;;;
Dashboard_Lista_e_Tarefas;tb_lista_atividades_lista_nm;"Tb Lista Atividades Lista Nm";"Tb Lista Atividades Lista Nm";"Tb Lista Atividades Lista Nm";;;;;;
Dashboard_Lista_e_Tarefas;tb_lista_atividades_inclu_login;"Tb Lista Atividades Inclu Login";"Tb Lista Atividades Inclu Login";"Tb Lista Atividades Inclu Login";;;;;;
Dashboard_Lista_e_Tarefas;tb_lista_atividades_inclu_dt;"Tb Lista Atividades Inclu Dt";"Tb Lista Atividades Inclu Dt";"Tb Lista Atividades Inclu Dt";;;;;;
Dashboard_Lista_e_Tarefas;tb_lista_atividades_alter_login;"Tb Lista Atividades Alter Login";"Tb Lista Atividades Alter Login";"Tb Lista Atividades Alter Login";;;;;;
Dashboard_Lista_e_Tarefas;tb_lista_atividades_alter_dt;"Tb Lista Atividades Alter Dt";"Tb Lista Atividades Alter Dt";"Tb Lista Atividades Alter Dt";;;;;;
Dashboard_Lista_e_Tarefas;tb_atividade_ativ_id;"Tb Atividade Ativ Id";"Tb Atividade Ativ Id";"Tb Atividade Ativ Id";;;;;;
Dashboard_Lista_e_Tarefas;tb_atividade_clie_id;"Tb Atividade Clie Id";"Tb Atividade Clie Id";"Tb Atividade Clie Id";;;;;;
Dashboard_Lista_e_Tarefas;tb_atividade_ativ_nm;"Tb Atividade Ativ Nm";"Tb Atividade Ativ Nm";"Tb Atividade Ativ Nm";;;;;;
Dashboard_Lista_e_Tarefas;tb_atividade_ativ_ds;"Tb Atividade Ativ Ds";"Tb Atividade Ativ Ds";"Tb Atividade Ativ Ds";;;;;;
Dashboard_Lista_e_Tarefas;tb_atividade_lista_id;"Tb Atividade Lista Id";"Tb Atividade Lista Id";"Tb Atividade Lista Id";;;;;;
Dashboard_Lista_e_Tarefas;tb_atividade_stat_id;"Tb Atividade Stat Id";"Tb Atividade Stat Id";"Tb Atividade Stat Id";;;;;;
Dashboard_Lista_e_Tarefas;tb_atividade_ativ_fl_ativo;"Tb Atividade Ativ Fl Ativo";"Tb Atividade Ativ Fl Ativo";"Tb Atividade Ativ Fl Ativo";;;;;;
Dashboard_Lista_e_Tarefas;tb_atividade_ativ_prioridade;"Tb Atividade Ativ Prioridade";"Tb Atividade Ativ Prioridade";"Tb Atividade Ativ Prioridade";;;;;;
Dashboard_Lista_e_Tarefas;tb_atividade_ativ_concluida;"Tb Atividade Ativ Concluida";"Tb Atividade Ativ Concluida";"Tb Atividade Ativ Concluida";;;;;;
Dashboard_Lista_e_Tarefas;tb_atividade_ativ_dt_ini;"Tb Atividade Ativ Dt Ini";"Tb Atividade Ativ Dt Ini";"Tb Atividade Ativ Dt Ini";;;;;;
Dashboard_Lista_e_Tarefas;tb_atividade_ativ_dt_fim;"Tb Atividade Ativ Dt Fim";"Tb Atividade Ativ Dt Fim";"Tb Atividade Ativ Dt Fim";;;;;;
Dashboard_Lista_e_Tarefas;tb_atividade_inclu_login;"Tb Atividade Inclu Login";"Tb Atividade Inclu Login";"Tb Atividade Inclu Login";;;;;;
Dashboard_Lista_e_Tarefas;tb_atividade_inclu_dt;"Tb Atividade Inclu Dt";"Tb Atividade Inclu Dt";"Tb Atividade Inclu Dt";;;;;;
Dashboard_Lista_e_Tarefas;tb_atividade_alter_login;"Tb Atividade Alter Login";"Tb Atividade Alter Login";"Tb Atividade Alter Login";;;;;;
Dashboard_Lista_e_Tarefas;tb_atividade_alter_dt;"Tb Atividade Alter Dt";"Tb Atividade Alter Dt";"Tb Atividade Alter Dt";;;;;;
"Gráfico Tarefas por Status";;"Gráfico Tarefas por Status";"Gráfico Tarefas por Status";"Gráfico Tarefas por Status";;;;;;
"Gráfico Tarefas por Status";clie_id;"Clie Id";"Clie Id";"Clie Id";;;;;;
"Gráfico Tarefas por Status";stat_id;"Stat Id";"Stat Id";"Stat Id";;;;;;
"Gráfico Tarefas por Status";stat_nm;"Stat Nm";Status;"Stat Nm";;;;;;
"Gráfico Tarefas por Status";qtde;Qtde;Qtde;Qtde;;;;;;
"Gráfico Tarefas por Prioridade";;"Gráfico Tarefas por Prioridade";"Gráfico Tarefas por Prioridade";"Gráfico Tarefas por Prioridade";;;;;;
"Gráfico Tarefas por Prioridade";clie_id;"Clie Id";"Clie Id";"Clie Id";;;;;;
"Gráfico Tarefas por Prioridade";domi_valor;"Domi Valor";"Domi Valor";"Domi Valor";;;;;;
"Gráfico Tarefas por Prioridade";Prioridade;Prioridade;Prioridade;Prioridade;;;;;;
"Gráfico Tarefas por Prioridade";Qtde;Qtde;Qtde;Qtde;;;;;;
"Gráfico Tarefas criadas por Usuário";;"Gráfico Tarefas criadas por Usuário";"Gráfico Tarefas criadas por Usuário";"Gráfico Tarefas criadas por Usuário";;;;;;
"Gráfico Tarefas criadas por Usuário";clie_id;"Clie Id";Cliente;"Clie Id";;;;;;
"Gráfico Tarefas criadas por Usuário";inclu_login;"Inclu Login";"Incluído por";"Inclu Login";;;;;;
"Gráfico Tarefas criadas por Usuário";qtde;Qtde;Qtde;Qtde;;;;;;
Dashboard_Graficos;;"Dashboard Graficos";"Dashboard Graficos";"Dashboard Graficos";;;;;;
Dashboard_Graficos;Gr_fico_Tarefas_por_Status_clie_id;"Gr Fico Tarefas Por Status Clie Id";"Gr Fico Tarefas Por Status Clie Id";"Gr Fico Tarefas Por Status Clie Id";;;;;;
Dashboard_Graficos;Gr_fico_Tarefas_por_Status_stat_id;"Gr Fico Tarefas Por Status Stat Id";"Gr Fico Tarefas Por Status Stat Id";"Gr Fico Tarefas Por Status Stat Id";;;;;;
Dashboard_Graficos;Gr_fico_Tarefas_por_Status_stat_nm;"Gr Fico Tarefas Por Status Stat Nm";"Gr Fico Tarefas Por Status Stat Nm";"Gr Fico Tarefas Por Status Stat Nm";;;;;;
Dashboard_Graficos;Gr_fico_Tarefas_por_Status_qtde;"Gr Fico Tarefas Por Status Qtde";"Gr Fico Tarefas Por Status Qtde";"Gr Fico Tarefas Por Status Qtde";;;;;;
Dashboard_Graficos;Gr_fico_Tarefas_por_Lista_clie_id;"Gr Fico Tarefas Por Lista Clie Id";"Gr Fico Tarefas Por Lista Clie Id";"Gr Fico Tarefas Por Lista Clie Id";;;;;;
Dashboard_Graficos;Gr_fico_Tarefas_por_Lista_lista_id;"Gr Fico Tarefas Por Lista Lista Id";"Gr Fico Tarefas Por Lista Lista Id";"Gr Fico Tarefas Por Lista Lista Id";;;;;;
Dashboard_Graficos;Gr_fico_Tarefas_por_Lista_lista_nm;"Gr Fico Tarefas Por Lista Lista Nm";"Gr Fico Tarefas Por Lista Lista Nm";"Gr Fico Tarefas Por Lista Lista Nm";;;;;;
Dashboard_Graficos;Gr_fico_Tarefas_por_Lista_Qtde;"Gr Fico Tarefas Por Lista Qtde";"Gr Fico Tarefas Por Lista Qtde";"Gr Fico Tarefas Por Lista Qtde";;;;;;
Dashboard_Graficos;Gr_fico_Tarefas_por_Prioridade_clie_id;"Gr Fico Tarefas Por Prioridade Clie Id";"Gr Fico Tarefas Por Prioridade Clie Id";"Gr Fico Tarefas Por Prioridade Clie Id";;;;;;
Dashboard_Graficos;Gr_fico_Tarefas_por_Prioridade_domi_valor;"Gr Fico Tarefas Por Prioridade Domi Valor";"Gr Fico Tarefas Por Prioridade Domi Valor";"Gr Fico Tarefas Por Prioridade Domi Valor";;;;;;
Dashboard_Graficos;Gr_fico_Tarefas_por_Prioridade_Prioridade;"Gr Fico Tarefas Por Prioridade Prioridade";"Gr Fico Tarefas Por Prioridade Prioridade";"Gr Fico Tarefas Por Prioridade Prioridade";;;;;;
Dashboard_Graficos;Gr_fico_Tarefas_por_Prioridade_Qtde;"Gr Fico Tarefas Por Prioridade Qtde";"Gr Fico Tarefas Por Prioridade Qtde";"Gr Fico Tarefas Por Prioridade Qtde";;;;;;
Dashboard_Graficos;Gr_fico_Tarefas_criadas_por_Usu_rio_clie_id;"Gr Fico Tarefas Criadas Por Usu Rio Clie Id";"Gr Fico Tarefas Criadas Por Usu Rio Clie Id";"Gr Fico Tarefas Criadas Por Usu Rio Clie Id";;;;;;
Dashboard_Graficos;Gr_fico_Tarefas_criadas_por_Usu_rio_inclu_login;"Gr Fico Tarefas Criadas Por Usu Rio Inclu Login";"Gr Fico Tarefas Criadas Por Usu Rio Inclu Login";"Gr Fico Tarefas Criadas Por Usu Rio Inclu Login";;;;;;
Dashboard_Graficos;Gr_fico_Tarefas_criadas_por_Usu_rio_qtde;"Gr Fico Tarefas Criadas Por Usu Rio Qtde";"Gr Fico Tarefas Criadas Por Usu Rio Qtde";"Gr Fico Tarefas Criadas Por Usu Rio Qtde";;;;;;
tb_categorias;;Categorias;Categorias;Categorias;;;;;;
tb_categorias;cate_id;"Cate Id";Id;"Cate Id";;;;;;
tb_categorias;clie_id;"Clie Id";Cliente;"Clie Id";;;;;;
tb_categorias;cate_nm;"Cate Nm";Categoria;"Cate Nm";;;;;;
tb_categorias;inclu_login;"Inclu Login";"Incluído por";"Inclu Login";;;;;;
tb_categorias;inclu_dt;"Inclu Dt";"Incluído em";"Inclu Dt";;;;;;
tb_categorias;alter_login;"Alter Login";"Alterado por";"Alter Login";;;;;;
tb_categorias;alter_dt;"Alter Dt";"Alterado em";"Alter Dt";;;;;;
tb_categorias_x_atividades;;"Categorias X Atividades";"Categorias por Atividades";"Categorias X Atividades";;;;;;
tb_categorias_x_atividades;caat_id;"Caat Id";Id;"Caat Id";;;;;;
tb_categorias_x_atividades;cate_id;"Cate Id";Categoria;"Cate Id";;;;;;
tb_categorias_x_atividades;ativ_id;"Ativ Id";Atividade;"Ativ Id";;;;;;
tb_categorias_x_atividades;inclu_login;"Inclu Login";por;"Inclu Login";;;;;;
tb_categorias_x_atividades;inclu_dt;"Inclu Dt";"Incluído em";"Inclu Dt";;;;;;
vw_tarefas_categorias;;"Vw Tarefas Categorias";"Vw Tarefas Categorias";"Vw Tarefas Categorias";;;;;;
vw_tarefas_categorias;Categorias;Categorias;Categorias;Categorias;;;;;;
vw_tarefas_categorias;ativ_id;"Ativ Id";"Ativ Id";"Ativ Id";;;;;;
vw_tarefas_categorias;clie_id;"Clie Id";"Clie Id";"Clie Id";;;;;;
vw_tarefas_categorias;ativ_nm;"Ativ Nm";"Ativ Nm";"Ativ Nm";;;;;;
vw_tarefas_categorias;cate_nm;"Cate Nm";"Cate Nm";"Cate Nm";;;;;;
vw_tarefas_categorias;ativ_ds;"Ativ Ds";"Ativ Ds";"Ativ Ds";;;;;;
vw_tarefas_categorias;lista_id;"Lista Id";"Lista Id";"Lista Id";;;;;;
vw_tarefas_categorias;lista_nm;"Lista Nm";"Lista Nm";"Lista Nm";;;;;;
vw_tarefas_categorias;stat_id;"Stat Id";"Stat Id";"Stat Id";;;;;;
vw_tarefas_categorias;stat_nm;"Stat Nm";"Stat Nm";"Stat Nm";;;;;;
vw_tarefas_categorias;ativ_fl_ativo;"Ativ Fl Ativo";"Ativ Fl Ativo";"Ativ Fl Ativo";;;;;;
vw_tarefas_categorias;ativ_prioridade;"Ativ Prioridade";"Ativ Prioridade";"Ativ Prioridade";;;;;;
vw_tarefas_categorias;ativ_concluida;"Ativ Concluida";"Ativ Concluida";"Ativ Concluida";;;;;;
vw_tarefas_categorias;ativ_dt_ini;"Ativ Dt Ini";"Ativ Dt Ini";"Ativ Dt Ini";;;;;;
vw_tarefas_categorias;ativ_dt_fim;"Ativ Dt Fim";"Ativ Dt Fim";"Ativ Dt Fim";;;;;;
vw_tarefas_categorias;inclu_login;"Inclu Login";"Inclu Login";"Inclu Login";;;;;;
vw_tarefas_categorias;inclu_dt;"Inclu Dt";"Inclu Dt";"Inclu Dt";;;;;;
vw_tarefas_categorias;alter_login;"Alter Login";"Alter Login";"Alter Login";;;;;;
vw_tarefas_categorias;alter_dt;"Alter Dt";"Alter Dt";"Alter Dt";;;;;;
;CUSTOM;"Registration of Access Plans";"Cadastramento de Planos de Acesso";"Registro de planes de acceso"
;CUSTOM1;"Registration of Plan Values";"Cadastramento de Valores de Planos";"Registro de valores del plan"
;CUSTOM2;"Activity Status Registration";"Cadastramento de Status de Atividades";"Registro de estado de actividad"
;CUSTOM3;"User Registration";"Cadastramento de Usuários";"Registro de usuario"
;DETAILS_FOUND;;"Ítens Achados";
;EMAIL__VALUE__J__CADASTRADO;"Email %value% already exists";"Email %value% já cadastrado";"Email %value% já cadastrado"
;MARCA_REGISTRADA;"Copyright, 2020 © GTDTasks";"Direitos Autorais, 2020 © GTDTasks ";"Copyright, 2020 © GTDTasks"
;MENU_PRINCIPAL;"Main Menu";"Menu Principal";"Main Menu"
;TASKS;Activities;Tarefas;Actividades
;TB_ATIVIDADE_DESCRIPTION;"Registration of Activities or Tasks";"Cadastramento de Atividades ou Tarefas";"Registro de actividades o tareas"
;TB_CLIENTES_DESCRIPTION;"Customer Registration";"Cadastramento de Clientes";"Registro de cliente"
;TB_CLIENTES_PLANOS_DESCRIPTION;"Registration of Customer Plans";"Cadastramento de Planos de Clientes";"Registro de planes de clientes"
;TB_DOMINIOS_DESCRIPTION;"Domain Registration";"Cadastramento de Domínios";"Registro de Dominio"
;TB_LISTA_ATIVIDADES_DESCRIPTION;"Registration of Activities List";"Cadastramento de Lista de Atividades";"Lista de registro de actividades"
;THE_VALUE_IS_INVALID;"The value is invalid";"O valor é inválido (espaços?)";"The value is invalid"
;VERSAO_SISTEMA;"GTDTasks © - Build 2021.02.11a (en) ""lang revision...""";"GTDTasks © - Build 2021.03.11a (pt-br)";"GTDTasks © - Build 2021.02.24 (es)"
;VERSAO_SISTEMA02;"GTDTasks © - Build 2020.09.07.(10.3)";"GTDTasks © - Build 2020.09.07.(10.3)";"GTDTasks © - Build 2020.09.07.(10.3)"
;VERSAO_SISTEMA03;"GTD Build 2020.07.26 (en)";;
;VERSAO_SISTEMA04;"GTDTasks © - Build 2021.02.19 (en)";;
;VERSAO_SISTEMA05;"GTDTasks © - Build 2021.02.22 (pt)";;
